Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
D-C-9381,LF-HAR-E57,Status 5 Step Regulator Circuit,DIMMER,,9900,499265.0,06-10-2025,Slow-Moving,110
POP-8436,LF-AND-28,PM CONA Glow Sign Board,POP,,1848,498940.0,10-10-2025,Slow-Moving,106
10106-W,LF-HAR-E57,,MODULAR,STATUS,7220,497593.2,12-11-2025,Slow-Moving,73
B-124,LF-HAR-E57,EX DTC (Silver Plating),BRASS,,1450,496004.0,13-11-2025,Slow-Moving,72
PWD-039,LF-HAR-E57,ABS Roma White Pigment  -  Code 4151 (1Pkt = 345Grms),PC,,707,493691.86,06-10-2025,Slow-Moving,110
OTH-199,LF-HAR-E57,Blue LED Assembling for HD,MIX,,374618,492800.0,31-10-2025,Slow-Moving,85
1986-W,IN_TRANSIT,,SUPPORTED,VALUE,24600,491708.95999999996,13-11-2025,Slow-Moving,72
24840-W,LF-DEL-01,Assure R.C.C.B. 40A F.P. (30mA) - W,MCB,ASSURE MCB,172,489115.05,06-10-2025,Slow-Moving,110
2526-MW,LD-CUT-003,,SUPPORTED,VALUE,30000,482100.0,13-11-2025,Slow-Moving,72
B-123,LF-HAR-E57,EX STC (Silver Plating),BRASS,,1430,482010.4,13-11-2025,Slow-Moving,72
OTH-021,LF-SIL-017,4x1 Neon Ind Bulb,OTHER RM,,161840,481195.0,12-11-2025,Slow-Moving,73
1986-W,LD-VIJ-027,Deluxe Plug Top 6A - W,SUPPORTED,VALUE,23420,479716.08,10-11-2025,Slow-Moving,75
9506-W,LD-DHA-007,,MODULAR,STATUS,5907,478338.52999999997,11-11-2025,Slow-Moving,74
LED-17100-CL,LF-VAS-006,,LED,,18,477750.0,08-11-2025,Slow-Moving,77
SFG-1961-HAR-MW,LF-HAR-E57,SFG - Glow Plug Top 16A,SFG,,28370,476246.4,12-11-2025,Slow-Moving,73
MIX-418,LF-VAS-006,Kurz Foil Medium Size 122 / 130 / 134 mm ,MIX,,223,473247.5,05-09-2025,Slow-Moving,141
